movie,rating,votes
Cobra Kai,8.4,143841.0
Indiana Jones and the Last Crusade,8.5,195803.0
Banshee,8.2,4801.0
Extraction,8.4,115725.0
Suicide Squad,6.8,245814.0
Shazam! Fury of the Gods,5.9,4801.0
Transformers,6.0,100714.0
Deadpool 3,7.0,4801.0
Gladiator,6.5,4801.0
The Continental: From the World of John Wick,8.5,4801.0
Black Adam,6.5,4801.0
La casa de papel,6.3,4801.0
Guardians of the Galaxy,8.2,502775.0
Operation Fortune: Ruse de Guerre,8.0,4801.0
Star Trek: Deep Space Nine,6.3,65826.0
Expend4bles,8.1,67373.0
Ghosted,6.5,4801.0
The Unbearable Weight of Massive Talent,5.8,48692.0
Man of Steel,7.0,130862.0
Jurassic Park,7.1,4801.0
The Hunger Games: The Ballad of Songbirds and Snakes,8.2,4801.0
Arrow,6.5,4801.0
Star Trek: Picard,7.5,439757.0
Mad Max: Fury Road,7.5,90072.0
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,4801.0
Zack Snyder's Justice League,8.1,4801.0
Venom: Let There Be Carnage,7.9,419847.0
Plane,5.9,4801.0
Indiana Jones and the Temple of Doom,6.5,61279.0
Agents of S.H.I.E.L.D.,7.5,4801.0
Superman & Lois,7.5,221903.0
Avatar,7.8,37204.0
The Umbrella Academy,7.9,4801.0
The Gray Man,7.9,260946.0
John Wick,6.5,221851.0
The Matrix,7.4,4801.0
Loki,8.7,4801.0
The Killer,8.2,48.0
Hawaii Five-0,6.5,4801.0
Immortals,7.4,76325.0
Aliens,6.0,4801.0
Spartacus: Blood and Sand,8.4,4801.0
Outer Banks,8.5,249323.0
Star Trek: Voyager,7.5,70870.0
Spider-Man,7.8,73789.0
Arcane: League of Legends,7.4,4801.0
The Equalizer 3,9.0,236816.0
Avatar: The Last Airbender,6.5,4801.0
Watchmen,9.3,338269.0
LÃ©on,7.6,4801.0
9-1-1: Lone Star,8.5,4801.0
Terminator 2: Judgment Day,7.2,18900.0
Chicago P.D.,8.6,4801.0
SEAL Team,8.1,41561.0
Citadel,7.8,29894.0
Vinland Saga,6.1,27960.0
See,8.8,55895.0
24,7.6,91626.0
Oldeuboi,8.4,192457.0
The Gentlemen,8.4,4801.0
Avengers: Infinity War,7.8,4801.0
1917,8.4,4801.0
Im Westen nichts Neues,8.2,4801.0
The Night Manager,7.8,215612.0
Sicario,7.6,11548.0
Thor: Love and Thunder,7.6,4801.0
Stargate SG-1,6.2,4801.0
No Time to Die,8.4,97750.0
Shadow and Bone,7.3,4801.0
Blade Runner,7.6,107308.0
The Lord of the Rings: The Return of the King,8.1,4801.0
The Revenant,9.0,4801.0
Star Wars: Rebels,8.0,4801.0
Indiana Jones and the Kingdom of the Crystal Skull,8.0,50529.0
Sympathy for the Devil,6.2,4801.0
The Flood,5.7,1214.0
Dune,3.2,847.0
Ojing-eo geim,6.3,4801.0
Tropic Thunder,8.0,489769.0
The Northman,7.1,4801.0
Edge of Tomorrow,7.0,4801.0
Star Wars: The Clone Wars,7.9,4801.0
The Terminator,8.4,109260.0
Knights of the Zodiac,8.1,4801.0
Daredevil,4.3,7259.0
Mission: Impossible - Dead Reckoning Part Two,8.6,457641.0
Jumanji: Welcome to the Jungle,6.5,4801.0
Pirates of the Caribbean: Dead Men Tell No Tales,6.9,4801.0
Transformers: The Last Knight,6.5,4801.0
Deadpool,5.2,4801.0
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8.0,4801.0
Man on Fire,8.4,899.0
Naruto,7.7,4801.0
The Punisher,8.4,114245.0
Primal,8.5,251268.0
"Love, Death & Robots",8.7,17758.0
Alita: Battle Angel,8.4,182852.0
Ford v Ferrari,7.3,4801.0
Teenage Mutant Ninja Turtles,8.1,4801.0
Peacemaker,6.7,4801.0
Venom,8.3,124309.0
Hypnotic,6.6,4801.0
FBI,5.5,16628.0
Chuck,7.1,20672.0
Designated Survivor,8.2,143138.0
The Old Man,7.5,98621.0
Kingudamu,7.6,44162.0
Kingsman: The Secret Service,6.6,3068.0
Star Wars,7.7,4801.0
Mushoku-tensei ~Isekai ittara honki dasu~,8.6,4801.0
Captain America: The First Avenger,8.4,15109.0
Jurassic World: Dominion,6.9,4801.0
The Terminal List,5.6,4801.0
In Time,7.9,99984.0
Deep Blue Sea,6.7,4801.0
Captain Marvel,5.9,4801.0
Baywatch,6.8,4801.0
Kraven the Hunter,5.4,29203.0
Doctor Strange in the Multiverse of Madness,6.5,4801.0
Guardians of the Galaxy Vol. 2,6.9,4801.0
Ready or Not,7.6,4801.0
Black Panther: Wakanda Forever,6.8,4801.0
NCIS: Los Angeles,6.7,4801.0
The Mummy,6.8,56036.0
The Witcher: Blood Origin,7.1,4801.0
Starship Troopers,4.9,42018.0
Adventure Time,7.3,4801.0
300,8.6,103461.0
Archer,7.6,4801.0
The Equalizer,8.6,160461.0
Kingdom of Heaven,7.2,4801.0
Black Widow,7.2,4801.0
The Baker,6.7,4801.0
Batman,6.7,127.0
Transformers: Age of Extinction,7.5,4801.0
Uncharted,5.6,4801.0
Iron Man,6.3,4801.0
The Recruit,7.9,4801.0
Spider-Man: Homecoming,7.4,41112.0
Pathaan,7.4,4801.0
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,5.9,142782.0
Deadpool 2,6.1,4801.0
Batman v Superman: Dawn of Justice,7.6,4801.0
Naruto: ShippÃ»den,6.4,4801.0
Kill Bill: Vol. 1,8.7,141068.0
Road House,8.2,4801.0
Baby Driver,6.7,4801.0
Teen Wolf,7.6,4801.0
Gotham,7.7,157470.0
Rebel Moon,7.8,236194.0
Dragged Across Concrete,6.5,4801.0
Hanma Baki: Son of Ogre,5.5,4801.0
Never Say Never Again,6.9,52040.0
World War Z,7.9,4801.0
WandaVision,6.8,2680.0
The Machine,6.1,4801.0
A View to a Kill,7.0,4801.0
Free Guy,7.9,347519.0
Ghostbusters,5.9,8248.0
Halo,6.3,4801.0
RRR (Rise Roar Revolt),7.9,10716.0
Sweet Tooth,7.1,4801.0
Batman & Robin,7.8,4801.0
Station 19,7.2,68585.0
The Avengers,7.8,4801.0
From Dusk Till Dawn,7.8,63140.0
Ready Player One,3.8,4801.0
Supergirl,7.0,18123.0
Alice in Borderland,8.0,4801.0
Justice League,7.2,4801.0
Longmire,7.4,4801.0
The Woman King,6.2,127334.0
Thor: Ragnarok,7.7,86852.0
Aquaman and the Lost Kingdom,6.1,4801.0
Spy,8.3,37886.0
American Sniper,6.9,4801.0
Rome,7.9,4801.0
She-Hulk: Attorney at Law,6.5,4801.0
Bumblebee,6.3,3545.0
The Mother,7.3,4801.0
Die Hard,8.7,178452.0
John Wick: Chapter 3 - Parabellum,5.3,180652.0
Black Hawk Down,6.7,4801.0
Jack Reacher,5.6,39676.0
Bleach: BurÃ®chi,8.2,4801.0
Pearl Harbor,7.4,4801.0
The Day After Tomorrow,7.7,4801.0
Walker,7.0,4801.0
RoboCop,8.2,62163.0
Hunter x Hunter,6.2,4801.0
Les trois mousquetaires: D'Artagnan,6.5,4801.0
Poker Face,6.2,13882.0
Rabbit Hole,7.6,4801.0
Eternals,9.0,115452.0
Checkmate,6.9,7983.0
Killing Eve,5.2,10677.0
Prey,7.5,15760.0
Boku no hÃ®rÃ´ akademia,6.3,4801.0
The Fall Guy,8.1,14356.0
The Fifth Element,5.8,4801.0
Shang-Chi and the Legend of the Ten Rings,8.1,126160.0
Independence Day,7.1,210689.0
Fury,8.3,71310.0
Castlevania,6.5,4801.0
Gladiator 2,7.6,4801.0
Logan,7.4,4801.0
Enterprise,7.0,4801.0
The Predator,7.6,4801.0
Wrath of Man,8.3,72196.0
Pixels,6.5,4801.0
Hot Fuzz,8.1,4801.0
Black Clover,7.5,56473.0
Batman Forever,5.3,4801.0
The Lost City,7.1,4801.0
The Count of Monte Cristo,5.6,4801.0
Battleship,7.8,4801.0
Apocalypto,8.3,29440.0
The Commuter,5.4,4801.0
The Last Duel,6.1,4801.0
The Karate Kid,7.7,4801.0
Scott Pilgrim vs. the World,5.8,4801.0
Superman: Legacy,7.8,4801.0
The Wrath of Becky,6.3,4801.0
The Hunger Games: Catching Fire,7.4,4801.0
The Lord of the Rings: The Two Towers,7.3,4801.0
Ambulance,7.5,4801.0
Divergent,6.5,4801.0
Gods of Egypt,6.0,5820.0
Kick-Ass,7.5,4801.0
Transformers: Revenge of the Fallen,8.8,4801.0
John Wick: Chapter 2,6.1,4801.0
Thor,6.6,4801.0
Transformers: Dark of the Moon,5.4,4801.0
Suzume no Tojimari,7.6,4801.0
Men in Black,5.9,4801.0
Death Proof,7.4,4801.0
Battlestar Galactica,7.0,4801.0
Vikings: Valhalla,6.2,4801.0
Moon Knight,7.7,23362.0
Alias,7.3,4801.0
Knight and Day,7.0,303486.0
The Legend of Tarzan,8.7,171124.0
The Warriors,7.3,52379.0
The Fast and the Furious,7.3,248970.0
Rogue One,7.6,52937.0
Percy Jackson and the Olympians,6.3,4801.0
The Incredibles,6.2,4801.0
Legion,7.5,4801.0
Wonder Woman,6.8,4801.0
Armageddon,7.8,4801.0
The Great Raid,6.5,4801.0
Ender's Game,8.0,4801.0
CSI: Miami,8.2,94229.0
The Blues Brothers,7.4,4801.0
Migration,6.7,4801.0
Jurassic World,6.6,4801.0
GoldenEye,6.6,4801.0
Predator,6.4,59549.0
Spider-Man 3,7.9,4801.0
Obi-Wan Kenobi,6.5,4801.0
Casino Royale,6.9,4801.0
Bloodhounds,7.2,4801.0
Star Wars: Episode I - The Phantom Menace,7.8,4801.0
Conan the Barbarian,6.3,4801.0
Transcendence,7.1,211612.0
Angel,8.0,4801.0
The Matrix Resurrections,8.1,7113.0
The Venture Bros.,6.5,4801.0
Magnum P.I.,6.9,4801.0
Ms. Marvel,6.2,4801.0
Star Trek Into Darkness,7.9,73375.0
Chainsaw Man,5.7,264189.0
X-Men,8.6,27099.0
Harry Potter and the Order of the Phoenix,6.2,15735.0
The Man from U.N.C.L.E.,6.3,111389.0
Upgrade,7.7,4801.0
Burn Notice,8.4,40915.0
Star Wars: Episode IX - The Rise of Skywalker,7.3,4801.0
Black Sails,5.4,4801.0
Noah,7.5,4801.0
Spider-Man: Far from Home,7.2,4801.0
Altered Carbon,7.5,4801.0
Mad Max,8.0,77100.0
"Magnum, P.I.",6.5,4801.0
Miami Vice,8.2,108976.0
Black Panther,5.8,4801.0
The Bourne Identity,7.4,4801.0
Stargate: Atlantis,8.1,4801.0
Jumanji: The Next Level,7.9,180310.0
The Lazarus Project,6.8,4801.0
F9,7.5,27565.0
Batman: The Animated Series,7.5,28489.0
Legends of Tomorrow,7.3,4801.0
The Hunt,7.9,4801.0
Red Notice,8.1,69493.0
The King's Man,6.7,4801.0
Point Break,7.2,5063.0
The Legend of Vox Machina,5.2,4801.0
Spider-Man 2,9.0,110156.0
Minority Report,6.8,107996.0
Aquaman,6.5,4801.0
Doom Patrol,6.3,296278.0
Star Wars: Episode VII - The Force Awakens,6.3,4801.0
V for Vendetta,7.2,4801.0
War of the Worlds,8.4,36016.0
Rush Hour,7.4,4801.0
The Magnificent Seven,7.6,4801.0
Van Helsing,6.8,4801.0
Anna,7.8,56733.0
Star Wars: Episode V - The Empire Strikes Back,7.8,4801.0
Castlevania: Nocturne,8.2,4801.0
Rampage,6.5,4801.0
Collateral,7.0,4801.0
Hagane no renkinjutsushi,6.9,4801.0
Busanhaeng,6.0,4801.0
Superman,6.6,4801.0
Warhorse One,8.7,4801.0
Snowpiercer,6.5,4801.0
Pirates of the Caribbean: Dead Man's Chest,6.1,4801.0
Peter Pan & Wendy,7.5,4801.0
Solo: A Star Wars Story,9.1,182252.0
JoJo no KimyÃ´ na BÃ´ken,6.5,4801.0
The Island,7.6,4801.0
Escape Room,7.4,4801.0
D.P.,4.8,669.0
Major Crimes,6.9,58782.0
Dragon Ball Z,7.4,4801.0
The Maze Runner,4.4,24781.0
Harry Potter and the Half-Blood Prince,6.9,4801.0
3:10 to Yuma,8.5,29602.0
One Punch Man: Wanpanman,6.8,79.0
Red Sparrow,6.4,4801.0
True Lies,8.2,7345.0
NCIS: Hawai'i,7.7,15292.0
The Amazing Spider-Man,8.8,138838.0
Terminator 3: Rise of the Machines,6.8,4801.0
Greyhound,7.6,4801.0
Murder Mystery 2,7.7,4801.0
American Made,8.7,173681.0
The Accountant,6.6,4801.0
Avengers: Age of Ultron,7.3,4801.0
Fast & Furious,6.6,7903.0
Jessica Jones,6.9,4801.0
NCIS: New Orleans,6.3,4801.0
The Mask,7.0,105519.0
The Other Guys,5.7,58089.0
Ocean's Eight,7.1,4801.0
21 Jump Street,7.3,4801.0
Last Resort,7.3,4801.0
IB 71,6.5,4801.0
Speed,7.9,220845.0
Stargate,6.8,19493.0
Wanted,6.9,4801.0
The Last Ship,6.6,4801.0
Training Day,6.3,4801.0
Kung Fu Panda,7.2,4801.0
Iron Man Three,7.3,21980.0
Hawkeye,7.3,7742.0
The Pacific,6.0,4801.0
Mortal Engines,7.3,4801.0
Shazam!,7.0,4801.0
CSI: NY,6.7,4801.0
Mr. & Mrs. Smith,7.4,61887.0
Thunderbolts,7.7,4801.0
Skyfall,7.6,4801.0
X-Men: Days of Future Past,7.1,4801.0
Batman Returns,7.5,199002.0
Source Code,8.3,118318.0
Midway,6.1,4801.0
Taken,7.0,4801.0
Captain America: Brave New World,6.9,48495.0
Escape Plan,6.5,4801.0
The Fast and the Furious: Tokyo Drift,6.5,4801.0
Godzilla vs. Kong,7.8,4801.0
Rush,7.9,4801.0
6 Underground,7.1,4801.0
The Boondocks,7.5,4801.0
Fallout,6.7,4801.0
28 Weeks Later,7.8,4801.0
Terminator: Dark Fate,6.5,4801.0
The Last of the Mohicans,6.7,4801.0
Godless,6.0,4801.0
The Hunger Games: Mockingjay - Part 1,6.3,4801.0
Children of Men,8.1,4801.0
Tron,6.1,188229.0
In the Dark,8.5,33368.0
"Lock, Stock and Two Smoking Barrels",6.5,4801.0
Shin Kamen RaidÃ¢,6.9,4801.0
Jigokuraku,6.2,4801.0
Pirates of the Caribbean: On Stranger Tides,7.7,4801.0
Shotgun Wedding,8.2,73353.0
Escape Room: Tournament of Champions,6.6,4801.0
Gangs of London,7.9,4801.0
Dawn of the Dead,6.8,4801.0
Star Wars: Episode III - Revenge of the Sith,7.5,14713.0
Heart of Stone,8.1,4801.0
Masters of the Air,6.3,1307.0
Star Trek Beyond,8.3,6792.0
Spider-Man: Beyond the Spider-Verse,6.6,4801.0
Sonic the Hedgehog 2,5.5,33151.0
Spider-Man: Lotus,5.7,4801.0
Argylle,8.1,37210.0
Chappie,7.1,4801.0
The Lego Movie,7.3,4801.0
13 Hours,7.6,4801.0
Legend of the White Dragon,6.5,4801.0
WarGames,6.5,4801.0
Kingdom,7.0,4801.0
The Incredible Hulk,6.5,4801.0
District 9,6.5,4801.0
Twister,6.5,4801.0
Star Wars: Episode VI - Return of the Jedi,6.5,4801.0
Deep Impact,6.8,4801.0
Captain America: Civil War,7.7,4801.0
Anthropoid,7.3,4801.0
SAS Rogue Heroes,6.5,4801.0
Blood & Gold,7.1,4801.0
X-Men: Apocalypse,8.3,50622.0
Shichinin no samurai,6.6,4801.0
Predestination,7.9,4801.0
Pirates of the Caribbean: At World's End,6.5,4801.0
The Equalizer 2,8.3,4801.0
Lucy,6.2,4801.0
Boss Bitch Fight Challenge,7.8,4801.0
The Last Samurai,7.2,4801.0
The Fugitive,8.1,18459.0
Peaky Blinders: The King's Ransom,6.5,12539.0
The Legend of Korra,6.9,4801.0
Game Night,8.6,4801.0
ShÃ»matsu no Valkyrie,7.4,4801.0
The Patriot,7.1,4801.0
Scorpion,6.7,4801.0
Kingsman: The Golden Circle,6.4,4801.0
The Amazing Spider-Man 2,7.8,1375.0
Unbroken,7.8,4801.0
Hotel Artemis,7.8,4801.0
Homefront,8.6,186.0
Highlander,8.4,128646.0
FBI: Most Wanted,6.9,4801.0
Split Second,6.4,7694.0
Doctor Strange,7.2,4801.0
In the Heart of the Sea,7.0,56736.0
Ant-Man,6.7,4801.0
Pacific Rim,6.6,4801.0
The Hunger Games: Mockingjay - Part 2,7.2,4801.0
Gotham Knights,6.1,4801.0
Iron Fist,6.5,4801.0
The Tomorrow War,7.0,4801.0
Poketto monsutÃ¢,6.9,9595.0
Jungle Cruise,6.0,4801.0
The School for Good and Evil,7.5,4801.0
The Book of Boba Fett,6.9,4801.0
Elysium,7.3,4801.0
The Last Kingdom: Seven Kings Must Die,6.9,4801.0
Moonfall,6.5,4801.0
Valerian and the City of a Thousand Planets,5.0,5909.0
Jurassic World: Fallen Kingdom,6.4,135795.0
The Boondock Saints,6.5,217051.0
Sonic the Hedgehog,7.5,45554.0
Devotion,6.6,4801.0
El Camino: A Breaking Bad Movie,5.9,32544.0
JAG,7.2,171718.0
Fauda,6.6,4801.0
Total Recall,6.9,29840.0
Young Guns,5.1,4801.0
Snow White and the Huntsman,6.4,4801.0
Blade,6.1,4801.0
X: First Class,7.7,4801.0
Memory,6.5,4801.0
Con Air,6.6,23879.0
How to Train Your Dragon,7.3,272760.0
Enter the Dragon,6.7,19313.0
The Adam Project,8.3,33999.0
Kenpuu Denki Berserk,7.5,4801.0
Babylon 5,6.8,4801.0
Our Flag Means Death,6.1,4801.0
Teenage Mutant Ninja Turtles: Out of the Shadows,7.1,4801.0
Sky High,7.7,4801.0
Constantine,5.7,31418.0
Avengers: Secret Wars,6.9,4801.0
Fast & Furious 7,8.1,4801.0
Clear and Present Danger,7.6,4801.0
Fantastic Four,6.7,217494.0
Emergency!,8.7,45766.0
Sicario: Day of the Soldado,8.4,33278.0
The Rock,7.8,31452.0
What If...?,5.9,4801.0
A Knight's Tale,6.3,4801.0
Captain Phillips,7.0,4801.0
Cyberpunk: Edgerunners,6.5,4801.0
The Rookie: Feds,7.1,4801.0
First Blood,6.9,4801.0
Queen of the South,6.5,4801.0
The Perfect Storm,7.9,5674.0
Shooter,7.1,4801.0
The Shallows,7.4,4801.0
Havoc,7.4,127944.0
Oblivion,6.9,4801.0
Ji-geum u-ri hak-gyo-neun,7.8,4801.0
Til Death Do Us Part,8.3,62661.0
Hulk,5.2,5218.0
Army of the Dead,7.7,4801.0
Face/Off,8.0,32410.0
Wo de ren jian yan huo,6.5,4801.0
Violent Night,7.1,4801.0
"Walker, Texas Ranger",6.3,4801.0
Captain America: The Winter Soldier,6.5,4801.0
Star Wars: The Bad Batch,7.0,4801.0
Jason Bourne,7.5,58534.0
Morbius,6.5,4801.0
PAW Patrol: The Mighty Movie,5.6,4801.0
Lethal Weapon,5.8,4801.0
Zombieland,7.3,4801.0
The Bourne Supremacy,7.8,605.0
Mortal Kombat,6.7,75445.0
Mononoke-hime,5.6,18030.0
Natural Born Killers,7.8,4801.0
DC League of Super-Pets,7.8,45153.0
MacGyver,5.2,4300.0
Wonder Woman 1984,6.6,4801.0
Incredibles 2,5.2,4801.0
AlienÂ³,6.5,4801.0
Regular Show,7.5,24766.0
Iron Man 2,7.6,4801.0
King Arthur: Legend of the Sword,7.6,4801.0
Spectre,7.9,12981.0
Mortal Kombat 2,7.7,4801.0
Baki,6.1,4801.0
Resident Evil,8.3,4801.0
Ride Along,7.2,4801.0
Sherlock Holmes,7.1,4801.0
Star Wars: Episode II - Attack of the Clones,7.6,40665.0
The Lost World: Jurassic Park,5.4,4801.0
Drive-Away Dolls,7.6,4801.0
Daredevil: Born Again,6.4,4801.0
Tank Girl,8.5,51922.0
Enemy at the Gates,6.9,4801.0
The Huntsman: Winter's War,6.7,4801.0
Triple Frontier,6.8,4801.0
Mulan,6.5,4801.0
Master and Commander: The Far Side of the World,6.7,7533.0
Blindspot,6.6,4801.0
The Covenant,6.1,4801.0
Drive Angry,7.6,4801.0
Underwater,6.6,4801.0
Smokin' Aces,6.5,4801.0
Ballerina,6.5,4801.0
The Old Way,6.5,4801.0
Enola Holmes,5.4,4801.0
KaubÃ´i bibappu: Cowboy Bebop,7.5,4801.0
Old Henry,6.1,4801.0
They Live,6.5,138150.0
Pineapple Express,5.8,154252.0
Terminator Genisys,7.5,4801.0
Planet of the Apes,6.2,4801.0
2012,7.3,76881.0
Big Trouble in Little China,5.2,4801.0
Robin Hood: Prince of Thieves,5.4,4801.0
Jawan,5.9,4801.0
Kill Bill: Vol. 2,6.6,4801.0
Star Wars: Episode VIII - The Last Jedi,6.5,4801.0
Greenland,5.5,6346.0
2 Fast 2 Furious,4.3,4801.0
Thirteen Lives,6.6,207015.0
King Kong,8.9,129082.0
Run Hide Fight,7.3,31947.0
Becky,7.2,4801.0
The Twilight Saga: Eclipse,6.9,4801.0
The Three Musketeers,6.3,4801.0
X-Men Origins: Wolverine,5.7,4801.0
Alien Resurrection,5.8,4801.0
The Owl House,7.2,4801.0
Untitled Venom Sequel,6.9,4801.0
Only God Forgives,6.5,4801.0
Warcraft,8.0,4801.0
Batman v Superman: Dawn of Justice (Ultimate Edition),6.9,4801.0
Poseidon,6.4,125638.0
Johnny English Strikes Again,5.9,4801.0
The Fighter,7.8,62416.0
Olympus Has Fallen,7.2,4801.0
Phineas and Ferb,6.3,25689.0
The Crow,6.0,20817.0
Looper,5.1,4801.0
Polar,5.7,4801.0
Waterworld,6.5,4801.0
Tomb Raider,6.2,4801.0
Clash of the Titans,8.5,16449.0
Batgirl,6.5,4801.0
Superhero Movie,5.7,4801.0
The World's End,6.7,4801.0
Murder Mystery,7.2,72721.0
Lupin,5.7,4801.0
Super 8,6.2,4801.0
Shinseiki Evangelion,7.8,4801.0
Red Dead Redemption II,6.5,4801.0
Creed,8.1,52443.0
Kaleidoscope,7.5,4801.0
Beverly Hills Cop,7.4,4801.0
Shadowhunters: The Mortal Instruments,6.3,95117.0
National Treasure,6.3,4801.0
X-Men: The Last Stand,6.3,4801.0
Lone Survivor,5.8,4801.0
Captain Underpants: The First Epic Movie,6.5,4801.0
G.I. Joe: The Rise of Cobra,4.6,4801.0
The Life Aquatic with Steve Zissou,6.9,4801.0
The Falcon and the Winter Soldier,6.0,158536.0
John Carter,7.5,120301.0
American Gladiators,7.0,4801.0
Gamer,8.5,77519.0
Hitman's Wife's Bodyguard,9.7,46658.0
Quantum Leap,7.6,4801.0
Men in Black 3,6.6,40509.0
Oldboy,7.3,4801.0
Young Hercules,6.5,67364.0
I Am Legend,6.9,4801.0
Hwan Hon,6.6,4801.0
Called to Duty,7.5,4801.0
Sucker Punch,6.2,4801.0
Godzilla,5.7,4801.0
The Wolverine,7.2,4801.0
Law Abiding Citizen,7.1,237812.0
Strike Back,6.6,4801.0
The Italian Job,6.5,3046.0
Henry Danger,5.7,4801.0
Treason,6.1,101414.0
American Born Chinese,8.2,34720.0
Resident Evil: Welcome to Raccoon City,6.8,4801.0
Tehran,5.8,4801.0
Die Hard with a Vengeance,5.7,2080.0
The Collective,7.2,4801.0
"I, Robot",8.8,12597.0
Pancho Villa. El Centauro del Norte,2.0,283.0
Kingdom of the Planet of the Apes,6.0,4801.0
Tokyo Revengers,6.4,4801.0
Boruto: Naruto Next Generations,6.7,4801.0
The Quick and the Dead,7.4,4801.0
Avengers: The Kang Dynasty,8.1,32684.0
The Last Man on Earth,7.0,4801.0
Fast & Furious Presents: Hobbs & Shaw,7.0,4801.0
Madame Web,5.9,6552.0
Tag,6.4,20249.0
Beast,7.1,5034.0
